index,pk,RN,ROAD_LT,위험도,dan_lvl,code,name,name_eng,area
39694,117409,명일로,4075,0.798,0.798181446,1125074,길동,Gil-dong,1596004.206
40006,117406,동남로,9999,0.72,0.719935271,1125074,길동,Gil-dong,1596004.206
40179,117407,양재대로,19360,0.776,0.775884529,1125074,길동,Gil-dong,1596004.206
40417,1174013,천중로,2954,0.722,0.722144346,1125074,길동,Gil-dong,1596004.206
46215,11740147,진황도로49길,342,0.684,0.684237895,1125074,길동,Gil-dong,1596004.206
47354,11740143,명일로16길,164,0.675,0.674783696,1125074,길동,Gil-dong,1596004.206
50818,11740159,천중로52길,316,0.604,0.60425741,1125074,길동,Gil-dong,1596004.206
50820,11740160,천중로50길,293,0.768,0.768211529,1125074,길동,Gil-dong,1596004.206
50823,11740162,천호대로187길,453,0.667,0.667204778,1125074,길동,Gil-dong,1596004.206
51217,11740152,천호대로189길,220,0.704,0.703928819,1125074,길동,Gil-dong,1596004.206
51418,11740151,양재대로116길,521,0.615,0.614978472,1125074,길동,Gil-dong,1596004.206
53198,11740245,명일로26길,191,0.683,0.68290606,1125074,길동,Gil-dong,1596004.206
53237,11740244,명일로24길,258,0.7,0.700049659,1125074,길동,Gil-dong,1596004.206
53352,117404,천호대로,15510,0.778,0.778286033,1125074,길동,Gil-dong,1596004.206
53357,11740879,명일로,65,0.726,0.726425982,1125074,길동,Gil-dong,1596004.206
54005,117401095,양재대로124길,101,0.7,0.70025084,1125074,길동,Gil-dong,1596004.206
18107,1171017,올림픽로,9400,0.881,0.880788653,1125073,천호2동,Cheonho 2-dong,1829949.565
40417,1174013,천중로,2954,0.722,0.722144346,1125073,천호2동,Cheonho 2-dong,1829949.565
40446,117402,구천면로,7050,0.685,0.684522254,1125073,천호2동,Cheonho 2-dong,1829949.565
40653,117401224,올림픽로93길,163,0.702,0.701612655,1125073,천호2동,Cheonho 2-dong,1829949.565
40717,117403,상암로,4332,0.752,0.751823615,1125073,천호2동,Cheonho 2-dong,1829949.565
41799,11740216,올림픽로80길,313,0.677,0.676933417,1125073,천호2동,Cheonho 2-dong,1829949.565
42231,11740204,올림픽로81길,201,0.863,0.862889434,1125073,천호2동,Cheonho 2-dong,1829949.565
42757,11740532,천중로2길,317,0.675,0.674783696,1125073,천호2동,Cheonho 2-dong,1829949.565
47899,11740190,천호대로151길,301,0.683,0.68290606,1125073,천호2동,Cheonho 2-dong,1829949.565
50113,11740299,천중로9길,275,0.681,0.681246038,1125073,천호2동,Cheonho 2-dong,1829949.565
50115,11740300,천중로15길,284,0.801,0.800766467,1125073,천호2동,Cheonho 2-dong,1829949.565
