자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율,area/Dong,시설개수,시설비율,slope_p
동작구,흑석동,2994,5571,1119,9186.666667,31807,0.288825311,0,34,0.0027862,0
동대문구,휘경2동,1728,3924,891,6147,24114,0.254914158,0.0015433,37,0.003032041,6
동대문구,휘경1동,986,2076,526,3354.222222,13667,0.245424908,0.0012363,18,0.001475047,2
용산구,후암동,1271,2980,767,4677.111111,17360,0.269418843,0,20,0.001638941,5
용산구,효창동,971,1473,344,2635.111111,10251,0.257058932,0.0724936,31,0.002540359,6
중구,회현동,250,1491,296,1905.444444,5114,0.372593751,0,10,0.000819471,5
동대문구,회기동,633,1505,330,2321.333333,10397,0.223269533,0,11,0.000901418,6
중구,황학동,880,2013,499,3170.222222,12613,0.251345613,0.0002743,8,0.000655576,5
광진구,화양동,523,2255,541,3078.555556,22746,0.13534492,0,23,0.001884782,1
강서구,화곡본동,2868,4737,1417,8392.222222,34467,0.243485717,0.0221333,60,0.004916824,3
강서구,화곡8동,1691,4343,1054,6619.555556,24826,0.266638023,0.0187253,30,0.002458412,2
강서구,화곡6동,1616,3820,948,5962.666667,24822,0.240217012,0.0190002,31,0.002540359,3
강서구,화곡4동,1487,3739,966,5762.666667,20952,0.275041364,0,23,0.001884782,3
강서구,화곡3동,1685,3952,854,6111.444444,21494,0.284332579,0.008752,23,0.001884782,2
강서구,화곡2동,1580,2816,774,4826,18202,0.265135699,0,21,0.001720888,6
강서구,화곡1동,3279,8157,2123,12615.44444,52083,0.242218083,0.0042835,51,0.0041793,1
서대문구,홍제3동,1004,3608,830,5073.111111,15576,0.325700508,0.0134985,28,0.002294518,4
서대문구,홍제2동,1081,2672,608,4090.777778,14003,0.292135812,0.0125919,16,0.001311153,6
서대문구,홍제1동,1990,4467,945,6982,24004,0.290868189,0.0006682,33,0.002704253,3
서대문구,홍은2동,1747,5070,1225,7497.555556,26772,0.280052127,0.0063801,26,0.002130624,6
서대문구,홍은1동,1915,4464,1058,6966.777778,22867,0.304665141,0.0079795,27,0.002212571,6
종로구,혜화동,1000,2708,590,4035.777778,16711,0.241504265,0,17,0.0013931,5
관악구,행운동,1499,4301,1070,6394.444444,29086,0.219846127,0.0006882,33,0.002704253,6
성동구,행당2동,2342,3755,906,6600.333333,23836,0.27690608,0,21,0.001720888,6
성동구,행당1동,1231,2129,517,3647.222222,14089,0.258870198,0.0005456,17,0.0013931,1
마포구,합정동,1291,2642,569,4249.111111,17735,0.239589011,0.004414,16,0.001311153,0
용산구,한남동,1514,3613,622,5472.555556,20778,0.26338221,0.000615,22,0.001802835,5
용산구,한강로동,1474,3237,525,5002.666667,21596,0.231647836,0,30,0.002458412,1
노원구,하계2동,2278,3150,993,5979.666667,22418,0.266735064,0,22,0.001802835,1
노원구,하계1동,1779,4387,2126,7347.111111,27164,0.270472357,0.021534,37,0.003032041,6
중구,필동,232,878,173,1206.111111,4015,0.300401273,0.0015175,12,0.000983365,5
송파구,풍납2동,2521,3746,828,6727,25358,0.265281174,0,38,0.003113988,1
송파구,풍납1동,909,2733,670,4014.222222,13524,0.29682211,0,15,0.001229206,1
종로구,평창동,1585,3389,538,5272.888889,18308,0.288010099,0,15,0.001229206,4
서대문구,충현동,1591,3325,764,5340.444444,20597,0.259282636,0.0004797,28,0.002294518,1
용산구,청파동,917,3321,828,4698,19700,0.238477157,0,29,0.002376465,5
종로구,청운효자동,1103,2132,461,3491.111111,12095,0.288640853,0.0016154,22,0.001802835,1
관악구,청림동,1551,2682,664,4601.888889,15333,0.300129713,0,17,0.0013931,3
관악구,청룡동,1638,4361,1068,6592.333333,35200,0.187282197,0.0166831,27,0.002212571,3
동대문구,청량리동,1044,5095,1268,6843.444444,19256,0.355392836,0.0078562,30,0.002458412,5
강남구,청담동,2812,3771,510,6866.333333,26738,0.256800558,0,33,0.002704253,6
강동구,천호3동,1603,4556,1314,6889,26428,0.260670501,0.0139567,25,0.002048677,5
강동구,천호2동,2155,5894,1735,9012.888889,33849,0.266267508,0,26,0.002130624,2
