NTFC_DE,index,SNHO_NO,JSH_NO,BUS_NO,PK,RN,SIG_CD_PK,RDS_MAN_NO_PK,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,RDS_DPN_SE,SPD_LMT,SOIL_INCLN,SOIL_INCL_,CAR_PER_RD,DNGR_RD,dan_lvl
20100422,1,1,0,1,11290409,한천로,11290,409,3005038,2,11840,3,2,50,0-2%,1,0.122073353,20313,0
20100610,4,0,0,0,112901560,장위로40길,11290,1560,4121578,5,12,4,1,30,15-30%,4,0.305183383,0,0.6
20100610,7,0,1,1,11290410,장월로10길,11290,410,4121506,4,138,4,0,30,15-30%,4,0.244146706,0,0
20100610,12,0,0,0,11290412,장위로,11290,412,3107013,3,76,3,1,50,7-15%,3,0.18311003,0,0.6
20100610,15,0,0,0,112902045,화랑로18가길,11290,2045,4121749,8,434,4,0,30,15-30%,4,0.488293413,0,0
20100610,16,0,0,0,112902046,화랑로18길,11290,2046,4121750,2,43,4,1,30,0-2%,1,0.122073353,0,0
20100610,17,0,0,0,112902047,화랑로18가길,11290,2047,4121749,5,15,4,1,30,7-15%,3,0.305183383,0,0
20100610,18,1,0,0,112902048,화랑로18나길,11290,2048,4121751,5,11,4,1,30,0-2%,1,0.305183383,0,0
20100610,19,0,0,1,112902049,화랑로18나길,11290,2049,4121751,5,12,4,1,30,0-2%,1,0.305183383,0,0
20100610,20,1,0,0,112902051,화랑로18나길,11290,2051,4121751,3,203,4,0,30,2-7%,2,0.18311003,0,0
20100610,21,0,0,0,112902052,화랑로18길,11290,2052,4121750,6,198,4,1,30,2-7%,2,0.36622006,0,0
20100610,22,2,1,1,112901242,장월로14길,11290,1242,4121509,3,292,4,0,30,2-7%,2,0.18311003,0,0
20100610,23,0,0,0,11290404,북악산로15길,11290,404,4121229,4,16,4,2,30,2-7%,2,0.244146706,0,0.6
20100610,24,0,0,0,112901243,창경궁로43길,11290,1243,4121698,5,65,4,1,30,30-60%,5,0.305183383,0,0.8
20100610,25,0,0,0,11290405,성북로16가길,11290,405,4121328,2,40,4,1,30,2-7%,2,0.122073353,0,0.4
20100610,26,7,1,3,11290406,한천로76길,11290,406,4121713,21,452,4,0,30,0-2%,1,1.281770209,0,0
20181224,27,0,0,0,11290407,고려대로1길,11290,407,4856583,5,496,4,1,30,7-15%,3,0.305183383,0,0
20100610,28,0,0,0,11290408,화랑로37가길,11290,408,4121780,2,32,4,1,30,2-7%,2,0.122073353,0,0
20100610,29,0,0,0,112901585,보국문로29나길,11290,1585,4121160,4,18,4,2,30,0-2%,1,0.244146706,0,0.8
20100610,43,0,0,0,112901584,화랑로23길,11290,1584,4121767,4,172,4,1,30,2-7%,2,0.244146706,0,0
20100610,44,2,0,2,112904083,오패산로10길,11290,4083,4121433,11,294,4,0,30,2-7%,2,0.671403443,0,0.6
20181224,45,0,0,0,112902020,고려대로2길,11290,2020,4856584,5,418,4,1,30,2-7%,2,0.305183383,0,0
20100610,46,0,0,0,112904484,솔샘로6마길,11290,4484,4121389,5,59,4,1,30,7-15%,3,0.305183383,0,0.8
20100610,47,0,0,0,112904486,보국문로11길,11290,4486,4121140,4,49,4,2,30,7-15%,3,0.244146706,0,0.8
20100610,48,0,0,0,112902023,돌곶이로25길,11290,2023,4121047,4,452,4,1,30,0-2%,1,0.244146706,0,0
20100610,49,1,0,0,112904487,정릉로19길,11290,4487,4121606,3,134,4,0,30,7-15%,3,0.18311003,0,0.8
20100422,50,0,0,0,112904488,정릉로,11290,4488,3107014,5,43,3,1,50,7-15%,3,0.305183383,0,0.8
