자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율
종로구,사직동,770,1815,284,2742.777778,9543,0.28741253
종로구,삼청동,158,615,110,834.1111111,2530,0.329688186
종로구,부암동,771,1755,317,2702.111111,9819,0.275192088
종로구,평창동,1585,3389,538,5272.888889,18308,0.288010099
종로구,무악동,989,1380,328,2551.222222,8380,0.304441793
종로구,교남동,1088,1576,359,2863.444444,10230,0.279906593
종로구,가회동,292,872,177,1262.333333,4203,0.300341026
종로구,종로1.2.3.4가동,251,1898,398,2370.111111,7227,0.327952278
종로구,종로5·6가동,157,1066,255,1364.666667,5264,0.259245188
종로구,이화동,345,1336,328,1863.222222,7399,0.251820817
종로구,창신1동,190,1256,316,1621.555556,5054,0.320845975
종로구,창신2동,327,1760,486,2357,8198,0.287509149
종로구,창신3동,506,1203,340,1897.888889,6752,0.28108544
종로구,숭인1동,365,1199,292,1726.222222,6041,0.285751071
종로구,숭인2동,334,1594,436,2170.222222,9542,0.227438925
종로구,청운효자동,1103,2132,461,3491.111111,12095,0.288640853
종로구,혜화동,1000,2708,590,4035.777778,16711,0.241504265
중구,소공동,194,256,29,466.1111111,2143,0.217504018
중구,회현동,250,1491,296,1905.444444,5114,0.372593751
중구,명동,117,747,130,936.2222222,2930,0.319529769
중구,필동,232,878,173,1206.111111,4015,0.300401273
중구,장충동,239,845,198,1194,4566,0.261498029
중구,광희동,175,1189,250,1502.888889,5343,0.281281843
중구,을지로동,56,496,87,600.3333333,1796,0.334261321
중구,신당5동,704,1812,495,2791,10501,0.265784211
중구,황학동,880,2013,499,3170.222222,12613,0.251345613
중구,중림동,1237,2108,534,3641.666667,12310,0.295829949
중구,신당동,327,1448,390,1991.666667,7680,0.259331597
중구,다산동,749,2694,653,3805.777778,14141,0.269130739
중구,약수동,1347,3805,892,5647.555556,16920,0.333779879
중구,청구동,981,2728,634,4061.222222,13894,0.292300433
중구,동화동,941,1890,440,3075.444444,10586,0.290519974
용산구,후암동,1271,2980,767,4677.111111,17360,0.269418843
용산구,용산2가동,460,2037,468,2757,9879,0.27907683
용산구,남영동,246,1579,549,2130,7544,0.282343584
용산구,원효로2동,1240,2378,469,3878.555556,14140,0.274296715
용산구,효창동,971,1473,344,2635.111111,10251,0.257058932
용산구,용문동,961,2138,488,3370.111111,12207,0.276080209
용산구,이촌1동,3629,4424,528,8346.333333,27739,0.30088804
용산구,이촌2동,678,1749,370,2632.555556,8547,0.308009308
용산구,이태원1동,294,1517,231,1939.333333,6822,0.284276361
